"floors","rooms","width","length","size","area_name","region_name","price","living_size","toilets","ward_name","direction","directionNumber","balconydirection","balconydirectionNumber"
"","2","","","79.9","Thành phố Thủ Đức","Tp Hồ Chí Minh","4275000000","0","0","Phường Long Thạnh Mỹ (Quận 9 cũ)","","0","","0"
"","3","","","85","Thành phố Thuận An","Bình Dương","2100000000","0","2","Phường Lái Thiêu","","0","","0"
"","1","","","53","Quận 7","Tp Hồ Chí Minh","2050000000","0","1","Phường Phú Thuận","","4","","3"
"","2","","","85","Huyện Bình Chánh","Tp Hồ Chí Minh","4480000000","0","2","Xã Bình Hưng","","3","","4"
"","1","","","40","Thành phố Thuận An","Bình Dương","1000000000","0","1","Phường Lái Thiêu","","0","","0"
"","2","","","65.74","Thành phố Qui Nhơn","Bình Định","500000000","0","2","Phường Lý Thường Kiệt","","0","","0"
"","2","","","74","Thành phố Thủ Đức","Tp Hồ Chí Minh","3800000000","0","2","Phường Long Bình (Quận 9 cũ)","","0","","0"
"","2","","","73","Quận 8","Tp Hồ Chí Minh","1950000000","0","2","Phường 16","","7","Hướng Đông Nam","6"
"","2","","","68","Thành phố Thủ Đức","Tp Hồ Chí Minh","2400000000","0","2","Phường Trường Thọ (Quận Thủ Đức cũ)","","0","","0"
"","2","","","60","Thành phố Thuận An","Bình Dương","1550000000","0","2","Phường Lái Thiêu","","7","Hướng Đông Nam","6"
"","3","","","85","Thành phố Thuận An","Bình Dương","2200000000","0","0","Phường Lái Thiêu","","0","","0"
"","2","","","102","Quận 6","Tp Hồ Chí Minh","3850000000","0","2","Phường 11","","2","Hướng Đông Nam","6"
"","2","","","86","Quận 4","Tp Hồ Chí Minh","2030000000","0","2","Phường 13","","0","","0"
"","2","","","70","Quận Bình Thạnh","Tp Hồ Chí Minh","1630000000","0","2","Phường 24","","0","","0"
"","2","","","75","Thành phố Thủ Đức","Tp Hồ Chí Minh","1960000000","0","2","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","72","Thành phố Thủ Đức","Tp Hồ Chí Minh","1530000000","0","2","Phường Hiệp Bình Chánh (Quận Thủ Đức cũ)","","0","","0"
"","2","","","71","Quận 8","Tp Hồ Chí Minh","1670000000","0","2","Phường 6","","0","","0"
"","2","","","68","Quận 6","Tp Hồ Chí Minh","1850000000","0","2","Phường 3","","0","","0"
"","2","","","44","Thành phố Thủ Đức","Tp Hồ Chí Minh","1950000000","0","0","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","72","Thành phố Thủ Đức","Tp Hồ Chí Minh","2130000000","0","2","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","68","Thành phố Thủ Đức","Tp Hồ Chí Minh","1900000000","0","2","Phường Trường Thọ (Quận Thủ Đức cũ)","","0","","0"
"","2","","","75","Quận 7","Tp Hồ Chí Minh","2590000000","0","2","Phường Tân Phong","","0","","0"
"","1","","","52","Thành phố Thuận An","Bình Dương","2400000000","0","1","Phường Lái Thiêu","","0","","0"
"","2","","","51","Huyện Bến Lức","Long An","1000000000","0","1","Xã Bình Đức","","0","","0"
"","2","","","65","Thành phố Thủ Đức","Tp Hồ Chí Minh","1980000000","0","2","Phường An Phú (Quận 2 cũ)","","0","","0"
"","2","","","75","Thành phố Thủ Đức","Tp Hồ Chí Minh","2150000000","0","2","Phường An Phú (Quận 2 cũ)","","0","","0"
"","1","","","55","Thành phố Thủ Đức","Tp Hồ Chí Minh","6000000000","0","1","Phường Thảo Điền (Quận 2 cũ)","","0","","0"
"","3","","","113","Thành phố Thủ Đức","Tp Hồ Chí Minh","1834000000","0","2","Phường An Lợi Đông (Quận 2 cũ)","","0","","0"
"","1","","","48","Quận Nam Từ Liêm","Hà Nội","2003000000","0","1","Phường Tây Mỗ","","0","","0"
"","2","","","73","Thành phố Thủ Đức","Tp Hồ Chí Minh","5250000000","0","2","Phường Thảo Điền (Quận 2 cũ)","","0","","0"
"","2","","","68","Thành phố Thủ Đức","Tp Hồ Chí Minh","1920000000","0","2","Phường Trường Thọ (Quận Thủ Đức cũ)","","0","","0"
"","2","","","69.2","Thành phố Thủ Đức","Tp Hồ Chí Minh","2890000000","0","2","Phường Long Thạnh Mỹ (Quận 9 cũ)","","0","","0"
"","3","","","127","Thành phố Thủ Đức","Tp Hồ Chí Minh","24500000000","0","2","Phường Thủ Thiêm (Quận 2 cũ)","","5","","8"
"","2","","","84","Thành phố Thủ Đức","Tp Hồ Chí Minh","11500000000","0","2","Phường Thảo Điền (Quận 2 cũ)","","0","","0"
"","2","","","75","Quận Bình Tân","Tp Hồ Chí Minh","2800000000","0","2","Phường An Lạc","","0","","1"
"","2","","","59.3","Thành phố Thủ Đức","Tp Hồ Chí Minh","1980000000","0","1","Phường Long Thạnh Mỹ (Quận 9 cũ)","","7","Hướng Đông Nam","6"
"","2","","","80","Quận Bình Tân","Tp Hồ Chí Minh","3400000000","0","2","Phường An Lạc","","0","Hướng Đông Nam","6"
"","3","","","80","Quận 7","Tp Hồ Chí Minh","4100000000","0","2","Phường Tân Thuận Tây","","0","","0"
"","2","","","67","Thành phố Nha Trang","Khánh Hòa","1730000000","0","2","Phường Phước Hải","","8","","5"
